Division,Score
Big 12 Conference,52.0
Southeastern Conference - West,45.7
Southeastern Conference - East,45.1
Pac-12 Conference - South,43.0
Big Ten Conference - Legends,42.6
Pac-12 Conference - North,41.4
Big Ten Conference - Leaders,37.8
Atlantic Coast Conference - Atlantic,37.5
Independent,35.3
Big East Conference,34.1
Atlantic Coast Conference - Coastal,33.8
Western Athletic Conference,31.0
Mountain West Conference,27.0
Mid-American Conference - West,24.3
Sun Belt Conference,23.3
Mid-American Conference - East,21.4
Conference USA - West,20.7
Conference USA - East,20.0
FCS,3.2
