Division,Score
Southeastern Conference - West,41.5
Big 12 Conference,39.8
Pac-12 Conference - North,39.2
Southeastern Conference - East,38.0
Independent,37.4
Big Ten Conference - Legends,34.8
Pac-12 Conference - South,30.4
Big Ten Conference - Leaders,30.0
Atlantic Coast Conference - Atlantic,27.6
Big East Conference,26.3
Atlantic Coast Conference - Coastal,25.8
Western Athletic Conference,23.7
Sun Belt Conference,23.1
Mid-American Conference - West,22.8
Mountain West Conference,22.3
Conference USA - West,18.0
Mid-American Conference - East,15.9
Conference USA - East,15.9
FCS,1.5
