Division,Score
Big 12 Conference,38.6
Southeastern Conference - West,35.6
Big Ten Conference - Legends,33.2
Pac-12 Conference - South,32.9
Independent,32.8
Southeastern Conference - East,31.9
Atlantic Coast Conference - Coastal,31.5
Pac-12 Conference - North,29.3
Big Ten Conference - Leaders,29.0
Big East Conference,26.4
Western Athletic Conference,25.9
Atlantic Coast Conference - Atlantic,23.3
Mountain West Conference,23.0
Mid-American Conference - West,18.9
Sun Belt Conference,16.6
Conference USA - West,16.0
Conference USA - East,15.3
Mid-American Conference - East,13.6
FCS,1.8
