Conference,Score
Big 12 Conference,41.2
Southeastern Conference,39.9
Independent,36.9
Pac-12 Conference,35.1
Big Ten Conference,32.2
Atlantic Coast Conference,26.6
Big East Conference,25.5
Western Athletic Conference,24.2
Sun Belt Conference,22.9
Mountain West Conference,22.6
Mid-American Conference,18.2
Conference USA,16.3
FCS,1.4
