Division,Score
Southeastern Conference - West,43.7
Big 12 Conference,41.2
Pac-12 Conference - North,38.1
Independent,36.9
Southeastern Conference - East,36.2
Big Ten Conference - Legends,34.8
Pac-12 Conference - South,32.2
Big Ten Conference - Leaders,29.5
Atlantic Coast Conference - Atlantic,29.2
Big East Conference,25.5
Western Athletic Conference,24.2
Atlantic Coast Conference - Coastal,24.0
Sun Belt Conference,22.9
Mountain West Conference,22.6
Mid-American Conference - West,21.1
Conference USA - West,18.6
Mid-American Conference - East,15.6
Conference USA - East,14.1
FCS,1.4
