Conference,Score
Southeastern Conference,41.2
Big 12 Conference,41.1
Independent,38.2
Pac-12 Conference,35.7
Big Ten Conference,33.1
Atlantic Coast Conference,27.9
Big East Conference,26.4
Western Athletic Conference,24.5
Sun Belt Conference,23.3
Mountain West Conference,22.1
Mid-American Conference,19.4
Conference USA,16.9
FCS,1.6
