Division,Score
Southeastern Conference - West,41.4
Big 12 Conference,40.3
Pac-12 Conference - North,36.2
Southeastern Conference - East,33.9
Big Ten Conference - Legends,32.3
Independent,31.4
Pac-12 Conference - South,30.1
Big Ten Conference - Leaders,29.7
Atlantic Coast Conference - Atlantic,28.7
Big East Conference,27.4
Atlantic Coast Conference - Coastal,24.2
Western Athletic Conference,23.4
Mountain West Conference,21.0
Sun Belt Conference,20.3
Mid-American Conference - West,19.7
Conference USA - West,16.9
Mid-American Conference - East,15.0
Conference USA - East,14.2
FCS,1.2
