Division,Score
Big 12 Conference,45.4
Southeastern Conference - West,42.4
Southeastern Conference - East,41.1
Pac-12 Conference - North,38.4
Big Ten Conference - Legends,37.9
Pac-12 Conference - South,35.3
Atlantic Coast Conference - Atlantic,33.6
Big Ten Conference - Leaders,32.9
Independent,31.1
Atlantic Coast Conference - Coastal,31.1
Big East Conference,30.0
Western Athletic Conference,29.3
Mountain West Conference,22.7
Mid-American Conference - West,21.4
Sun Belt Conference,21.1
Mid-American Conference - East,16.6
Conference USA - East,16.0
Conference USA - West,15.9
FCS,1.8
