Division,Score
Southeastern Conference - West,41.3
Big 12 Conference,39.8
Pac-12 Conference - North,38.8
Southeastern Conference - East,38.0
Independent,36.3
Big Ten Conference - Legends,34.2
Pac-12 Conference - South,30.8
Big Ten Conference - Leaders,29.6
Atlantic Coast Conference - Atlantic,29.0
Big East Conference,25.2
Atlantic Coast Conference - Coastal,24.6
Western Athletic Conference,23.7
Sun Belt Conference,22.4
Mountain West Conference,21.5
Mid-American Conference - West,21.1
Conference USA - West,17.4
Mid-American Conference - East,16.0
Conference USA - East,15.2
FCS,1.3
