Division,Score
Big 12 Conference,40.3
Southeastern Conference - East,38.4
Southeastern Conference - West,38.3
Pac-12 Conference - North,35.6
Big Ten Conference - Legends,33.0
Independent,32.1
Big Ten Conference - Leaders,29.5
Pac-12 Conference - South,29.5
Atlantic Coast Conference - Atlantic,28.0
Big East Conference,27.5
Western Athletic Conference,24.9
Atlantic Coast Conference - Coastal,24.9
Mountain West Conference,20.7
Sun Belt Conference,20.6
Mid-American Conference - West,18.0
Mid-American Conference - East,15.2
Conference USA - West,14.7
Conference USA - East,14.4
FCS,1.2
