Division,Score
Southeastern Conference - West,40.2
Big 12 Conference,37.6
Pac-12 Conference - North,37.1
Southeastern Conference - East,37.0
Independent,36.2
Big Ten Conference - Legends,33.0
Big Ten Conference - Leaders,30.0
Pac-12 Conference - South,27.8
Atlantic Coast Conference - Atlantic,27.5
Big East Conference,26.7
Atlantic Coast Conference - Coastal,25.7
Western Athletic Conference,24.1
Mid-American Conference - West,22.1
Sun Belt Conference,20.9
Mountain West Conference,20.5
Conference USA - West,19.2
Mid-American Conference - East,15.6
Conference USA - East,15.1
FCS,1.4
