Division,Score
Southeastern Conference - West,39.2
Big Ten Conference - East,37.4
Southeastern Conference - East,31.7
Big Ten Conference - West,31.2
Big 12 Conference,29.9
Atlantic Coast Conference - Coastal,28.8
Pac-12 Conference - South,25.6
Atlantic Coast Conference - Atlantic,24.3
American Athletic Conference,23.1
Mid-American Conference - West,22.3
Independent,22.3
Mountain West Conference - Mountain,22.3
Sun Belt Conference - East,21.5
Mountain West Conference - West,21.2
Conference USA - East,20.1
Pac-12 Conference - North,18.8
Conference USA - West,18.0
Mid-American Conference - East,14.5
Sun Belt Conference - West,14.2
FCS,1.1
