Division,Score
Southeastern Conference - West,39.1
Big Ten Conference - East,38.0
Southeastern Conference - East,34.7
Pac-12 Conference - South,34.0
Sun Belt Conference - East,32.3
Big 12 Conference,31.8
Big Ten Conference - West,30.0
Atlantic Coast Conference - Atlantic,29.9
Mid-American Conference - West,29.8
Atlantic Coast Conference - Coastal,27.2
Independent,24.4
American Athletic Conference,24.1
Mountain West Conference - Mountain,22.9
Mountain West Conference - West,22.9
Conference USA - West,22.7
Conference USA - East,21.9
Mid-American Conference - East,20.9
Sun Belt Conference - West,17.3
Pac-12 Conference - North,16.5
FCS,4.0
