Division,Score
Southeastern Conference - West,37.0
Big Ten Conference - East,35.2
Southeastern Conference - East,30.0
Atlantic Coast Conference - Atlantic,29.5
Big Ten Conference - West,29.4
Big 12 Conference,27.8
Atlantic Coast Conference - Coastal,22.8
Independent,22.8
Sun Belt Conference - East,22.7
American Athletic Conference,22.7
Mountain West Conference - Mountain,22.6
Pac-12 Conference - South,22.5
Mid-American Conference - West,21.1
Mountain West Conference - West,20.4
Pac-12 Conference - North,19.3
Conference USA - West,19.0
Conference USA - East,14.7
Sun Belt Conference - West,11.7
Mid-American Conference - East,10.5
FCS,0.7
