Division,Score
Southeastern Conference - West,39.3
Big Ten Conference - East,39.1
Atlantic Coast Conference - Atlantic,31.4
Southeastern Conference - East,31.1
Big 12 Conference,30.7
Big Ten Conference - West,30.7
Atlantic Coast Conference - Coastal,27.1
Sun Belt Conference - East,23.8
American Athletic Conference,22.7
Pac-12 Conference - North,22.1
Mountain West Conference - West,22.1
Mid-American Conference - West,21.0
Mountain West Conference - Mountain,21.0
Independent,20.7
Pac-12 Conference - South,20.6
Conference USA - West,19.3
Conference USA - East,15.4
Sun Belt Conference - West,12.4
Mid-American Conference - East,12.1
FCS,0.8
