Division,Score
Big Ten Conference - East,37.0
Southeastern Conference - West,32.5
Southeastern Conference - East,31.3
Big 12 Conference,28.0
Atlantic Coast Conference - Atlantic,26.7
Big Ten Conference - West,26.0
Sun Belt Conference - East,23.9
Atlantic Coast Conference - Coastal,22.8
Independent,21.3
Mountain West Conference - Mountain,20.8
American Athletic Conference,20.3
Mid-American Conference - West,20.0
Pac-12 Conference - South,19.5
Mountain West Conference - West,18.4
Pac-12 Conference - North,17.4
Conference USA - West,15.7
Conference USA - East,11.6
Mid-American Conference - East,11.1
Sun Belt Conference - West,8.3
FCS,0.2
