Division,Score
Southeastern Conference - West,38.3
Big Ten Conference - East,38.0
Big 12 Conference,31.0
Big Ten Conference - West,28.6
Southeastern Conference - East,27.9
Atlantic Coast Conference - Atlantic,25.0
Atlantic Coast Conference - Coastal,24.2
Sun Belt Conference - East,21.7
Independent,21.4
American Athletic Conference,19.8
Mountain West Conference - Mountain,19.1
Pac-12 Conference - North,19.1
Pac-12 Conference - South,19.0
Mountain West Conference - West,17.8
Mid-American Conference - West,16.1
Conference USA - East,14.9
Conference USA - West,14.7
Mid-American Conference - East,12.4
Sun Belt Conference - West,10.3
FCS,0.4
