Conference,Score
Southeastern Conference,34.0
Big Ten Conference,32.3
Big 12 Conference,29.5
Atlantic Coast Conference,26.5
Independent,22.5
American Athletic Conference,20.7
Mountain West Conference,19.4
Pac-12 Conference,19.0
Sun Belt Conference,16.9
Mid-American Conference,15.3
Conference USA,15.2
FCS,0.4
