Division,Score
Southeastern Conference - West,34.5
Big Ten Conference - East,33.9
Southeastern Conference - East,29.8
Big 12 Conference,29.5
Atlantic Coast Conference - Atlantic,29.2
Big Ten Conference - West,29.1
Mountain West Conference - Mountain,23.2
American Athletic Conference,22.5
Sun Belt Conference - East,22.5
Independent,21.9
Pac-12 Conference - South,21.9
Atlantic Coast Conference - Coastal,20.7
Mid-American Conference - West,20.5
Mountain West Conference - West,20.3
Pac-12 Conference - North,18.0
Conference USA - West,18.0
Conference USA - East,14.5
Sun Belt Conference - West,12.1
Mid-American Conference - East,10.4
FCS,0.7
