Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
michigan,3,2,-1,59.1,41.3,19.7
ohio-state,4,4,0,57.5,40.6,18.1
michigan-state,12,13,1,45.1,24.4,17.1
penn-state,44,39,-5,28.2,18.7,13.0
maryland,57,70,13,23.5,9.7,11.6
rutgers,89,81,-8,15.7,3.5,12.9
indiana,106,106,0,8.3,-1.3,11.3
iowa,28,20,-8,36.5,20.1,12.8
minnesota,19,22,3,40.0,27.1,16.4
purdue,32,34,2,33.1,16.5,14.6
wisconsin,11,10,-1,46.4,37.0,18.5
illinois,73,73,0,20.4,11.9,14.2
nebraska,77,79,2,18.5,24.5,15.9
northwestern,105,105,0,8.9,-6.3,12.1
georgia,1,1,0,72.6,52.4,19.1
kentucky,18,19,1,40.2,22.2,14.3
tennessee,37,33,-4,31.5,24.9,15.3
south-carolina,65,77,12,21.9,6.6,11.4
missouri,81,82,1,18.0,3.5,10.9
florida,55,57,2,24.4,17.2,14.6
vanderbilt,122,122,0,3.7,-19.8,13.6
alabama,2,3,1,62.9,40.8,16.0
mississippi,15,12,-3,41.4,24.0,15.8
arkansas,20,26,6,39.6,26.6,15.6
texas-am,27,28,1,36.7,24.0,14.0
mississippi-state,58,48,-10,23.2,9.2,14.8
auburn,48,45,-3,26.9,22.5,14.5
louisiana-state,56,58,2,23.7,12.7,13.4
baylor,7,11,4,48.9,28.2,18.2
oklahoma-state,6,8,2,50.2,29.8,20.0
oklahoma,9,14,5,47.0,26.8,13.4
iowa-state,39,38,-1,30.7,23.3,15.2
kansas-state,46,51,5,27.3,13.8,13.4
west-virginia,67,60,-7,21.4,10.8,13.0
texas-tech,59,76,17,23.1,8.9,11.9
texas,63,67,4,22.1,15.7,13.9
texas-christian,88,90,2,15.8,1.3,12.6
kansas,123,123,0,3.6,-20.2,13.1
wake-forest,24,27,3,37.8,17.6,15.2
clemson,14,15,1,44.1,27.8,13.1
north-carolina-state,25,24,-1,37.4,19.7,16.2
louisville,52,50,-2,25.0,18.5,16.5
florida-state,72,71,-1,20.5,12.1,17.0
boston-college,74,74,0,19.5,4.4,11.3
syracuse,68,65,-3,21.4,14.2,18.0
pittsburgh,13,7,-6,44.8,27.4,16.5
miami-fl,49,47,-2,26.8,12.9,13.4
virginia,80,78,-2,18.1,1.6,12.7
virginia-tech,78,64,-14,18.4,4.4,11.2
north-carolina,66,54,-12,21.8,11.7,12.4
georgia-tech,99,97,-2,10.6,-0.7,13.5
duke,119,117,-2,5.2,-18.0,11.9
oregon,34,30,-4,32.1,13.5,15.2
washington-state,75,69,-6,19.3,1.7,15.4
oregon-state,53,55,2,25.0,12.5,15.4
california,87,88,1,15.8,1.4,14.4
washington,102,102,0,9.6,-9.1,13.8
stanford,116,116,0,5.6,-16.6,11.7
utah,17,16,-1,40.6,26.3,17.1
ucla,31,32,1,33.7,19.2,11.8
arizona-state,43,41,-2,28.6,14.0,12.3
colorado,97,98,1,10.9,-5.5,11.0
southern-california,94,94,0,13.1,0.1,11.5
arizona,121,121,0,3.9,-13.8,13.7
cincinnati,5,5,0,51.4,27.1,13.4
houston,16,17,1,41.2,18.3,16.2
central-florida,40,42,2,29.6,11.1,12.1
east-carolina,60,59,-1,22.6,5.5,14.0
tulsa,61,62,1,22.2,7.2,12.7
southern-methodist,38,40,2,30.8,14.6,14.4
memphis,85,86,1,16.4,-1.9,11.4
navy,82,83,1,17.3,11.3,16.4
temple,125,125,0,1.7,-29.3,11.2
south-florida,113,113,0,6.5,-8.7,15.5
tulane,103,103,0,9.5,3.3,11.2
utah-state,41,43,2,29.5,6.1,14.1
air-force,8,9,1,47.1,32.1,15.2
boise-state,45,46,1,28.1,15.2,13.8
wyoming,76,75,-1,19.1,1.3,10.7
colorado-state,104,104,0,9.4,-4.6,17.6
new-mexico,114,114,0,5.9,-15.9,10.9
san-diego-state,23,23,0,38.0,14.1,13.0
fresno-state,36,36,0,32.0,10.7,12.6
nevada,71,72,1,20.7,0.4,11.7
hawaii,92,92,0,14.0,-4.8,10.9
san-jose-state,100,100,0,10.5,-10.6,10.8
nevada-las-vegas,118,119,1,5.5,-12.6,14.6
notre-dame,10,6,-4,46.5,26.2,16.1
new-mexico-state,124,124,0,2.1,-26.3,11.9
liberty,42,44,2,29.1,14.8,12.8
massachusetts,130,130,0,0.3,-33.2,12.8
connecticut,126,126,0,1.1,-28.6,11.0
army,21,18,-3,39.6,26.5,14.8
brigham-young,30,31,1,34.6,14.3,13.0
appalachian-state,33,35,2,32.8,14.5,13.0
coastal-carolina,29,29,0,36.3,12.8,12.7
georgia-state,54,56,2,24.5,7.0,13.6
troy,98,99,1,10.9,-9.9,12.0
georgia-southern,107,107,0,7.9,-9.4,10.9
louisiana-lafayette,26,25,-1,37.3,10.1,14.0
texas-state,120,120,0,5.2,-20.9,11.4
south-alabama,101,101,0,9.9,-12.0,11.3
louisiana-monroe,111,111,0,7.1,-15.8,15.6
arkansas-state,129,128,-1,0.6,-32.1,12.0
western-kentucky,50,49,-1,26.3,8.3,15.7
marshall,69,66,-3,21.2,5.4,12.5
old-dominion,90,89,-1,15.3,-2.2,12.3
middle-tennessee-state,83,84,1,17.1,-2.3,14.4
charlotte,110,110,0,7.3,-18.0,12.4
florida-atlantic,91,91,0,14.1,-2.5,14.1
florida-international,131,131,0,0.0,-34.7,13.2
texas-san-antonio,22,21,-1,38.7,15.1,16.1
alabama-birmingham,35,37,2,32.1,14.9,12.7
north-texas,79,80,1,18.1,3.9,16.0
texas-el-paso,86,87,1,16.1,-4.3,13.6
rice,108,108,0,7.9,-13.7,12.0
louisiana-tech,109,109,0,7.6,-10.3,12.7
southern-mississippi,117,118,1,5.6,-16.7,9.9
kent-state,84,85,1,17.1,-0.6,10.1
miami-oh,70,68,-2,20.9,4.8,11.3
ohio,112,112,0,6.7,-13.1,14.2
bowling-green-state,115,115,0,5.8,-19.3,13.9
buffalo,96,96,0,11.2,-4.9,15.3
akron,127,127,0,0.7,-31.7,12.7
northern-illinois,64,63,-1,22.0,1.3,11.4
central-michigan,47,53,6,27.1,7.2,11.1
toledo,62,61,-1,22.1,7.1,12.1
western-michigan,51,52,1,25.8,9.2,11.9
eastern-michigan,93,93,0,13.1,-9.9,11.4
ball-state,95,95,0,12.7,-7.6,13.2
fcs,128,129,1,0.7,-28.8,12.0
