Division,Score
Southeastern Conference - West,38.9
Big Ten Conference - East,38.6
Big 12 Conference,29.5
Southeastern Conference - East,29.2
Atlantic Coast Conference - Atlantic,28.2
Big Ten Conference - West,26.0
Atlantic Coast Conference - Coastal,24.8
Independent,22.5
Sun Belt Conference - East,22.1
American Athletic Conference,20.7
Mountain West Conference - Mountain,20.6
Pac-12 Conference - South,19.0
Pac-12 Conference - North,18.9
Mid-American Conference - West,18.7
Mountain West Conference - West,18.1
Conference USA - West,16.8
Conference USA - East,13.6
Mid-American Conference - East,11.9
Sun Belt Conference - West,11.7
FCS,0.4
