Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
Cincinnati,6,7,1,52.9,41.7,17.2
EastCarolina,56,59,3,26.0,25.5,8.8
SouthFlorida,113,111,-2,8.5,9.9,7.5
Temple,122,121,-1,3.6,-9.8,8.9
UCF,54,43,-11,27.3,27.8,11.6
Houston,17,18,1,44.3,36.4,11.9
Memphis,81,76,-5,19.0,18.1,7.7
Navy,97,98,1,14.2,26.2,9.5
SouthernMethodist,24,29,5,39.6,35.5,11.1
Tulane,115,112,-3,8.0,17.2,12.9
Tulsa,84,96,12,17.8,21.6,7.3
BostonCollege,59,68,9,25.0,23.9,10.8
Clemson,27,33,6,37.9,39.0,14.5
FloridaState,70,82,12,21.8,31.0,9.5
Louisville,45,57,12,29.8,39.7,10.8
NorthCarolinaState,25,21,-4,38.8,40.5,11.8
Syracuse,51,41,-10,28.3,36.6,11.0
WakeForest,12,12,0,47.4,40.3,12.5
Duke,110,107,-3,9.4,6.3,7.3
GeorgiaTech,94,90,-4,14.8,21.4,9.2
MiamiFL,57,49,-8,25.9,31.8,11.5
NorthCarolina,53,48,-5,27.4,34.8,12.3
Pittsburgh,16,16,0,45.2,43.3,15.6
Virginia,58,50,-8,25.1,23.9,12.1
VirginiaTech,68,78,10,22.4,24.8,11.1
Indiana,105,101,-4,11.2,19.1,15.1
Maryland,76,65,-11,20.8,21.6,15.0
Michigan,3,3,0,60.0,56.5,17.7
MichiganState,7,8,1,51.5,45.5,14.9
OhioState,2,2,0,63.5,60.8,20.0
PennState,38,35,-3,33.5,38.7,17.9
Rutgers,60,74,14,24.8,29.7,13.1
Illinois,72,71,-1,21.6,30.5,10.9
Iowa,20,20,0,41.2,37.8,19.9
Minnesota,34,28,-6,35.3,41.8,14.5
Nebraska,64,64,0,23.1,44.7,15.3
Northwestern,100,103,3,12.2,14.1,13.3
Purdue,41,36,-5,31.0,34.4,13.2
Wisconsin,9,9,0,50.4,58.5,17.2
Baylor,13,13,0,47.2,46.1,13.9
IowaState,35,27,-8,34.6,40.6,13.0
Kansas,121,125,4,4.6,-3.8,4.1
KansasState,40,44,4,32.4,30.4,9.9
Oklahoma,14,5,-9,46.7,39.5,15.9
OklahomaState,5,10,5,57.9,52.4,11.7
TCU,106,72,-34,10.9,7.4,11.7
Texas,69,55,-14,22.1,31.7,14.3
TexasTech,62,69,7,23.5,21.1,8.9
WestVirginia,78,63,-15,20.3,27.5,13.6
Charlotte,103,105,2,11.4,2.8,6.9
FloridaAtlantic,74,62,-12,21.1,22.2,9.1
FloridaInternational,127,126,-1,1.7,-12.2,7.1
Marshall,55,47,-8,26.8,27.0,11.6
MiddleTennessee,80,91,11,19.6,16.5,6.3
OldDominion,87,95,8,17.2,20.2,8.2
WesternKentucky,63,70,7,23.4,23.4,9.2
LouisianaTech,101,108,7,11.8,13.0,5.9
NorthTexas,92,102,10,15.7,16.6,5.0
Rice,114,110,-4,8.3,3.2,4.9
