Division,Score
Southeastern Conference - West,37.2
Big Ten Conference - East,35.4
Southeastern Conference - East,29.7
Atlantic Coast Conference - Atlantic,29.7
Big Ten Conference - West,29.5
Big 12 Conference,27.9
American Athletic Conference,23.4
Mountain West Conference - Mountain,23.4
Atlantic Coast Conference - Coastal,23.0
Independent,22.9
Sun Belt Conference - East,22.7
Pac-12 Conference - South,22.5
Mid-American Conference - West,20.7
Mountain West Conference - West,20.4
Pac-12 Conference - North,18.9
Conference USA - West,18.2
Conference USA - East,14.7
Sun Belt Conference - West,12.2
Mid-American Conference - East,10.6
FCS,0.7
