Division,Score
Southeastern Conference - West,37.0
Big Ten Conference - East,36.1
Atlantic Coast Conference - Atlantic,31.2
Southeastern Conference - East,30.0
Big Ten Conference - West,30.0
Big 12 Conference,29.5
Sun Belt Conference - East,23.7
American Athletic Conference,23.0
Independent,22.9
Mountain West Conference - Mountain,22.7
Atlantic Coast Conference - Coastal,22.2
Pac-12 Conference - South,21.8
Mid-American Conference - West,20.5
Pac-12 Conference - North,20.5
Mountain West Conference - West,19.5
Conference USA - West,19.3
Conference USA - East,15.7
Sun Belt Conference - West,12.6
Mid-American Conference - East,11.3
FCS,0.7
