Division,Score
Southeastern Conference - West,36.3
Big Ten Conference - East,33.9
Southeastern Conference - East,30.3
Atlantic Coast Conference - Atlantic,29.4
Big Ten Conference - West,29.1
Big 12 Conference,29.0
Mountain West Conference - Mountain,23.2
American Athletic Conference,22.6
Sun Belt Conference - East,22.5
Independent,21.9
Pac-12 Conference - South,21.8
Atlantic Coast Conference - Coastal,20.8
Mid-American Conference - West,20.5
Mountain West Conference - West,20.1
Conference USA - West,18.0
Pac-12 Conference - North,17.9
Conference USA - East,14.5
Sun Belt Conference - West,12.0
Mid-American Conference - East,10.4
FCS,0.7
