Division,Score
Southeastern Conference - West,37.0
Big Ten Conference - East,35.3
Southeastern Conference - East,29.9
Atlantic Coast Conference - Atlantic,29.5
Big Ten Conference - West,29.4
Big 12 Conference,27.8
Mountain West Conference - Mountain,23.0
American Athletic Conference,22.9
Atlantic Coast Conference - Coastal,22.8
Independent,22.7
Pac-12 Conference - South,22.3
Sun Belt Conference - East,21.8
Mountain West Conference - West,20.6
Mid-American Conference - West,20.3
Conference USA - West,19.1
Pac-12 Conference - North,18.8
Conference USA - East,14.7
Sun Belt Conference - West,11.8
Mid-American Conference - East,10.4
FCS,0.7
