Division,Score
Southeastern Conference - West,37.0
Big Ten Conference - East,35.2
Southeastern Conference - East,30.0
Atlantic Coast Conference - Atlantic,29.5
Big Ten Conference - West,29.5
Big 12 Conference,27.7
Independent,23.4
Atlantic Coast Conference - Coastal,22.8
Sun Belt Conference - East,22.8
Mountain West Conference - Mountain,22.6
Pac-12 Conference - South,22.5
American Athletic Conference,22.1
Mid-American Conference - West,21.2
Mountain West Conference - West,20.4
Pac-12 Conference - North,19.3
Conference USA - West,18.9
Conference USA - East,14.7
Sun Belt Conference - West,11.7
Mid-American Conference - East,10.6
FCS,0.7
