Division,Score
Southeastern Conference - West,38.8
Big Ten Conference - East,38.1
Atlantic Coast Conference - Atlantic,31.1
Big 12 Conference,30.2
Big Ten Conference - West,29.8
Southeastern Conference - East,29.5
Atlantic Coast Conference - Coastal,24.5
Sun Belt Conference - East,23.4
Pac-12 Conference - North,22.6
American Athletic Conference,22.6
Independent,21.5
Mountain West Conference - Mountain,21.5
Mountain West Conference - West,21.2
Mid-American Conference - West,20.3
Pac-12 Conference - South,19.4
Conference USA - West,18.5
Conference USA - East,16.1
Sun Belt Conference - West,12.1
Mid-American Conference - East,11.3
FCS,0.7
