Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
michigan,14,14,0,42.1,26.5,12.0
ohio-state,43,4,-39,32.4,28.2,22.4
michigan-state,33,19,-14,34.8,15.5,10.5
penn-state,6,17,11,48.2,35.6,10.5
maryland,12,52,40,43.1,28.0,4.5
rutgers,31,45,14,35.4,16.4,5.5
indiana,60,79,19,26.1,15.5,9.3
iowa,7,6,-1,47.9,35.2,18.1
minnesota,66,77,11,23.7,10.7,7.1
purdue,34,62,28,34.5,15.1,3.1
wisconsin,24,64,40,37.6,38.5,13.3
illinois,87,72,-15,18.8,7.3,3.4
nebraska,28,57,29,36.4,27.0,7.2
northwestern,85,94,9,19.4,2.2,12.1
georgia,1,5,4,55.7,46.9,19.4
kentucky,22,47,25,38.2,20.7,6.1
tennessee,61,40,-21,25.8,14.9,6.2
south-carolina,41,27,-14,33.3,13.2,9.0
missouri,65,31,-34,24.1,11.5,7.2
florida,10,13,3,44.5,30.0,12.4
vanderbilt,131,130,-1,0.0,-36.7,14.5
alabama,3,1,-2,50.4,38.9,25.9
mississippi,20,23,3,38.9,21.6,8.8
arkansas,19,37,18,39.6,22.8,6.4
texas-am,5,7,2,48.5,36.1,17.5
mississippi-state,59,78,19,26.3,2.8,3.4
auburn,4,11,7,50.2,38.6,12.8
louisiana-state,79,90,11,20.7,4.8,3.8
baylor,16,60,44,41.3,25.3,2.6
oklahoma-state,67,68,1,23.2,-1.9,11.0
oklahoma,2,12,10,54.1,44.5,15.7
iowa-state,64,55,-9,24.3,11.9,13.0
kansas-state,55,48,-7,28.2,5.6,4.6
west-virginia,44,93,49,31.6,26.5,6.4
texas-tech,54,49,-5,28.4,5.9,4.8
texas,63,10,-53,24.5,12.4,15.7
texas-christian,25,16,-9,37.1,18.9,11.7
kansas,118,118,0,6.3,-24.2,11.9
wake-forest,40,33,-7,33.3,13.2,7.0
clemson,39,61,22,33.4,30.2,15.4
north-carolina-state,68,35,-33,22.8,8.9,6.9
louisville,82,95,13,20.1,3.6,3.8
florida-state,111,89,-22,10.9,-3.9,6.0
boston-college,48,34,-14,29.7,7.9,7.2
syracuse,84,59,-25,19.5,2.4,8.9
pittsburgh,26,46,20,36.7,18.4,5.5
miami-fl,62,76,14,25.2,13.7,8.2
virginia,21,30,9,38.7,21.3,7.4
virginia-tech,23,29,6,38.0,20.4,7.9
north-carolina,47,70,23,30.3,24.0,10.5
georgia-tech,95,98,3,17.0,-2.6,2.9
duke,99,110,11,15.8,-5.0,5.6
oregon,13,51,38,43.0,27.8,4.2
washington-state,107,115,8,13.0,-10.6,6.5
oregon-state,72,100,28,22.0,7.3,1.6
california,108,103,-5,13.0,2.2,3.2
washington,120,119,-1,5.7,-19.5,8.9
stanford,97,114,17,16.0,-4.6,5.6
utah,73,56,-17,21.8,7.0,4.6
ucla,15,9,-6,41.3,25.3,12.5
arizona-state,35,32,-3,34.5,15.0,9.3
colorado,51,41,-10,28.9,21.1,6.0
southern-california,80,26,-54,20.6,4.5,8.2
arizona,117,109,-8,6.6,-16.9,9.6
cincinnati,11,3,-8,43.4,28.4,19.0
houston,78,102,24,21.0,5.2,3.7
central-florida,8,18,10,45.8,32.0,9.7
east-carolina,109,101,-8,12.3,0.1,1.0
tulsa,110,99,-11,11.3,-2.7,7.6
southern-methodist,37,36,-1,34.1,14.5,6.5
memphis,46,53,7,31.5,10.5,4.2
navy,113,106,-7,9.5,-8.1,2.5
temple,115,123,8,8.1,-20.6,12.2
south-florida,123,121,-2,3.3,-26.9,11.5
tulane,36,69,33,34.2,31.8,8.9
utah-state,70,92,22,22.3,-3.2,7.1
air-force,17,15,-2,40.9,24.6,13.1
boise-state,57,91,34,27.5,18.3,5.3
wyoming,69,81,12,22.6,-2.8,7.3
colorado-state,127,124,-3,1.3,-32.8,13.2
new-mexico,86,75,-11,19.0,-8.2,1.0
san-diego-state,27,50,23,36.4,17.9,7.5
fresno-state,50,84,34,29.0,14.1,4.3
nevada,52,65,13,28.7,6.3,3.2
hawaii,112,96,-16,10.8,-11.5,5.1
san-jose-state,88,73,-15,18.1,-0.5,5.1
nevada-las-vegas,121,120,-1,4.2,-24.1,10.3
notre-dame,45,42,-3,31.5,10.5,11.6
new-mexico-state,124,125,1,3.0,-26.0,15.3
liberty,18,22,4,40.1,23.4,8.9
massachusetts,130,131,1,0.5,-35.3,20.6
connecticut,129,129,0,0.9,-33.4,13.5
army,9,8,-1,45.1,31.0,16.3
brigham-young,32,24,-8,35.0,15.8,14.4
appalachian-state,56,21,-35,27.9,19.1,9.8
coastal-carolina,42,25,-17,32.8,12.5,10.8
georgia-state,114,104,-10,8.7,-10.6,4.8
troy,71,39,-32,22.2,7.8,7.6
georgia-southern,98,54,-44,16.0,-4.7,6.4
louisiana-lafayette,105,82,-23,13.8,-9.0,7.9
texas-state,93,116,23,17.2,-2.3,7.1
south-alabama,77,88,11,21.3,-4.8,4.6
louisiana-monroe,122,126,4,3.5,-27.9,15.9
arkansas-state,101,71,-30,15.1,-6.5,3.3
western-kentucky,91,80,-11,17.4,-2.0,4.9
marshall,30,28,-2,35.9,17.2,8.5
old-dominion,81,107,26,20.6,4.5,3.0
middle-tennessee-state,106,86,-20,13.7,-9.2,9.2
charlotte,94,113,19,17.2,-10.9,9.8
florida-atlantic,83,112,29,20.1,3.5,4.0
florida-international,100,66,-34,15.7,-5.2,12.9
texas-san-antonio,29,43,14,36.0,17.3,5.6
alabama-birmingham,75,44,-31,21.7,6.7,5.7
north-texas,102,83,-19,14.0,-8.6,8.7
texas-el-paso,96,67,-29,16.5,-7.8,2.5
rice,116,111,-5,6.8,-16.3,3.9
louisiana-tech,103,105,2,14.0,-8.6,5.8
southern-mississippi,92,117,25,17.3,-2.1,7.7
kent-state,49,87,38,29.2,21.8,6.2
miami-oh,104,85,-19,14.0,5.2,8.7
ohio,119,108,-11,5.9,-19.0,8.8
bowling-green-state,125,127,2,2.5,-29.2,14.9
buffalo,38,2,-36,33.9,31.2,21.4
akron,126,122,-4,1.5,-32.3,12.1
northern-illinois,90,63,-27,17.5,-1.7,4.3
central-michigan,53,74,21,28.5,20.3,12.0
toledo,58,20,-38,26.9,17.0,12.1
western-michigan,76,97,21,21.6,6.5,11.8
eastern-michigan,89,58,-31,17.8,-1.0,4.7
ball-state,74,38,-36,21.7,6.7,14.2
fcs,128,128,0,1.1,-27.5,10.9
