Division,Score
Big Ten Conference - East,36.3
Southeastern Conference - West,33.8
Southeastern Conference - East,29.0
Big 12 Conference,28.1
Big Ten Conference - West,27.2
Atlantic Coast Conference - Atlantic,26.3
Atlantic Coast Conference - Coastal,22.9
Sun Belt Conference - East,21.8
Mid-American Conference - West,21.0
Mountain West Conference - Mountain,20.2
American Athletic Conference,20.0
Pac-12 Conference - South,20.0
Independent,19.4
Mountain West Conference - West,18.9
Pac-12 Conference - North,17.4
Conference USA - West,15.7
Conference USA - East,11.7
Mid-American Conference - East,11.1
Sun Belt Conference - West,11.0
FCS,0.3
