Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
michigan,2,2,0,64.5,43.7,20.9
ohio-state,4,4,0,58.5,43.3,19.1
michigan-state,13,13,0,44.7,24.9,18.0
penn-state,39,37,-2,31.8,21.9,13.4
maryland,70,70,0,20.9,7.2,11.5
rutgers,82,82,0,17.8,6.1,12.9
indiana,106,106,0,8.6,-0.2,10.6
iowa,21,21,0,39.1,20.7,12.7
minnesota,22,22,0,38.4,26.8,17.4
purdue,34,35,1,33.0,18.1,15.4
wisconsin,10,10,0,46.2,39.2,19.6
illinois,72,71,-1,20.9,13.0,14.9
nebraska,79,79,0,18.8,25.4,16.6
northwestern,105,105,0,9.2,-5.2,11.9
georgia,1,1,0,70.0,50.4,20.2
kentucky,20,20,0,39.1,22.2,15.1
tennessee,33,34,1,33.1,24.1,16.1
south-carolina,77,77,0,19.0,3.3,11.4
missouri,81,81,0,18.1,1.5,11.4
florida,50,50,0,26.7,18.7,14.3
vanderbilt,122,122,0,3.7,-19.8,14.3
alabama,3,3,0,60.8,39.2,16.7
mississippi,12,12,0,45.4,25.8,16.4
arkansas,25,24,-1,36.9,24.4,16.3
texas-am,28,27,-1,36.6,23.9,14.5
mississippi-state,48,49,1,26.8,13.0,15.6
auburn,44,42,-2,28.8,23.0,14.8
louisiana-state,57,58,1,23.8,12.9,14.0
baylor,11,11,0,45.8,25.2,19.2
oklahoma-state,8,8,0,47.5,27.4,21.1
oklahoma,14,14,0,44.3,24.4,13.5
iowa-state,38,36,-2,32.1,22.5,15.9
kansas-state,51,51,0,26.6,12.6,14.0
west-virginia,60,63,3,22.5,10.4,13.1
texas-tech,75,76,1,19.3,3.9,12.1
texas,68,67,-1,21.3,14.0,13.6
texas-christian,90,90,0,15.1,-0.1,11.7
kansas,123,123,0,3.3,-21.6,13.6
wake-forest,26,26,0,36.8,17.4,15.8
clemson,16,15,-1,42.6,27.3,13.7
north-carolina-state,23,23,0,38.1,20.7,17.0
louisville,52,52,0,26.3,18.0,17.4
florida-state,71,69,-2,20.9,13.1,18.0
boston-college,74,74,0,19.8,5.0,11.4
syracuse,66,66,0,21.8,15.2,19.0
pittsburgh,7,7,0,48.7,29.0,17.4
miami-fl,47,45,-2,27.5,14.3,13.9
virginia,78,78,0,18.9,3.2,12.7
virginia-tech,64,65,1,22.1,9.6,11.5
north-carolina,54,54,0,25.3,16.0,12.6
georgia-tech,97,98,1,11.0,0.7,13.7
duke,119,118,-1,5.6,-16.8,11.4
oregon,30,32,2,34.9,14.8,15.7
washington-state,69,68,-1,21.0,2.7,16.3
oregon-state,55,46,-9,25.2,12.8,16.1
california,88,89,1,16.0,2.0,15.0
washington,101,102,1,9.8,-8.6,14.1
stanford,117,116,-1,5.8,-16.3,11.1
utah,17,17,0,42.0,24.8,18.1
ucla,32,33,1,33.8,19.4,12.2
arizona-state,41,41,0,30.1,13.5,12.6
colorado,98,97,-1,11.0,-5.4,10.7
southern-california,95,95,0,13.2,0.4,11.5
arizona,121,121,0,3.9,-13.7,14.2
cincinnati,5,5,0,56.5,29.3,13.9
houston,18,18,0,40.1,17.8,17.1
central-florida,46,47,1,27.5,9.4,12.0
east-carolina,59,62,3,22.6,5.5,14.6
tulsa,62,73,11,22.4,7.6,13.5
southern-methodist,40,40,0,31.0,15.0,15.0
memphis,86,87,1,16.6,-1.4,11.5
navy,84,83,-1,17.5,12.1,17.3
temple,125,125,0,1.8,-28.8,10.7
south-florida,113,113,0,6.6,-8.3,16.3
tulane,104,104,0,9.5,3.4,11.2
utah-state,42,43,1,29.6,6.4,14.9
air-force,9,9,0,47.0,33.7,16.0
boise-state,45,44,-1,28.1,15.3,14.5
wyoming,85,85,0,17.5,0.3,10.9
colorado-state,103,103,0,9.6,-4.1,18.4
new-mexico,114,115,1,5.9,-15.7,10.6
san-diego-state,27,29,2,36.6,13.2,13.4
fresno-state,37,38,1,32.3,11.1,13.2
nevada,56,57,1,24.1,3.9,12.1
hawaii,93,94,1,14.2,-4.5,11.4
san-jose-state,100,100,0,10.6,-10.5,10.4
nevada-las-vegas,118,119,1,5.6,-12.1,15.4
notre-dame,6,6,0,51.9,29.2,17.1
new-mexico-state,124,124,0,2.2,-26.0,12.3
liberty,43,48,5,29.5,15.5,12.9
massachusetts,130,130,0,0.4,-32.7,13.3
connecticut,126,126,0,1.2,-28.4,11.2
army,19,19,0,39.5,28.6,15.3
brigham-young,31,25,-6,34.5,14.2,13.4
appalachian-state,35,30,-5,32.7,14.3,13.2
coastal-carolina,29,28,-1,36.0,12.4,12.7
georgia-state,65,64,-1,22.1,4.7,14.3
troy,99,99,0,10.6,-10.4,11.3
georgia-southern,109,109,0,7.7,-9.9,10.4
louisiana-lafayette,24,31,7,37.0,9.7,14.6
texas-state,120,120,0,4.9,-21.5,11.2
south-alabama,102,101,-1,9.8,-12.3,11.2
louisiana-monroe,111,111,0,7.0,-16.1,16.5
arkansas-state,129,129,0,0.6,-32.4,11.5
western-kentucky,49,55,6,26.7,9.0,16.6
marshall,67,59,-8,21.5,5.9,12.5
old-dominion,89,86,-3,15.5,-1.7,12.4
middle-tennessee-state,83,88,5,17.6,-1.4,15.2
charlotte,110,110,0,7.5,-17.6,12.4
florida-atlantic,92,93,1,14.3,-2.0,14.3
florida-international,131,131,0,0.0,-34.7,12.0
texas-san-antonio,15,16,1,42.8,17.2,16.8
alabama-birmingham,36,39,3,32.4,15.4,13.3
north-texas,73,72,-1,20.4,6.1,16.9
texas-el-paso,87,84,-3,16.5,-3.6,14.1
rice,107,108,1,8.0,-13.3,12.3
louisiana-tech,108,107,-1,8.0,-9.2,12.9
southern-mississippi,116,117,1,5.8,-16.2,9.8
kent-state,80,80,0,18.6,0.5,9.6
miami-oh,76,75,-1,19.2,3.7,11.3
ohio,112,112,0,6.8,-12.9,14.8
bowling-green-state,115,114,-1,5.8,-19.2,14.4
buffalo,96,96,0,11.2,-4.7,13.8
akron,127,127,0,0.8,-31.3,12.6
northern-illinois,63,61,-2,22.2,1.6,11.7
central-michigan,53,53,0,25.7,6.4,11.4
toledo,61,56,-5,22.4,7.6,12.2
western-michigan,58,60,2,23.3,6.7,11.9
