Conference,Score
Southeastern Conference,35.5
Big Ten Conference,35.2
Big 12 Conference,31.6
Atlantic Coast Conference,29.3
Independent,24.9
American Athletic Conference,24.5
Mountain West Conference,23.1
Pac-12 Conference,22.9
Sun Belt Conference,19.5
Conference USA,19.5
Mid-American Conference,17.3
FCS,1.2
