Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
michigan,3,3,0,59.7,66.7,21.8
ohio-state,2,2,0,65.1,73.5,19.4
michigan-state,15,7,-8,43.6,51.5,18.7
penn-state,32,38,6,34.7,49.9,13.1
maryland,83,76,-7,18.3,31.3,11.2
rutgers,69,61,-8,21.0,37.1,12.5
indiana,106,106,0,9.8,28.8,9.1
iowa,17,20,3,41.4,48.6,12.2
minnesota,30,34,4,36.4,52.6,17.3
purdue,38,41,3,30.9,43.5,15.1
wisconsin,7,9,2,51.1,68.7,19.6
illinois,79,72,-7,18.9,39.2,14.6
nebraska,70,64,-6,20.8,54.4,17.0
northwestern,103,102,-1,10.7,24.1,11.2
georgia,1,1,0,75.0,78.6,21.0
kentucky,33,36,3,34.7,44.1,14.8
tennessee,35,46,11,31.6,51.3,16.3
south-carolina,64,78,14,21.8,32.9,10.4
missouri,82,91,9,18.4,26.6,10.2
florida,55,49,-6,24.9,45.5,14.4
vanderbilt,123,124,1,3.7,5.9,13.9
alabama,4,4,0,57.2,63.6,17.8
mississippi,14,12,-2,44.2,52.3,17.2
arkansas,29,22,-7,36.6,53.0,16.7
texas-am,20,24,4,40.2,52.4,14.5
mississippi-state,47,48,1,29.0,40.4,14.9
auburn,39,33,-6,30.8,49.9,15.2
louisiana-state,67,73,6,21.2,37.5,13.8
baylor,10,13,3,47.9,57.4,19.1
oklahoma-state,6,5,-1,53.7,59.2,20.0
oklahoma,9,11,2,48.2,52.2,13.4
iowa-state,41,35,-6,30.5,49.3,16.0
kansas-state,45,39,-6,29.1,40.6,13.4
west-virginia,63,75,12,22.0,39.2,12.7
texas-tech,71,62,-9,20.8,31.0,11.4
texas,74,66,-8,20.5,43.2,13.3
texas-christian,84,84,0,18.0,30.7,10.3
kansas,122,121,-1,3.9,6.6,13.0
wake-forest,26,14,-12,38.8,44.9,16.1
clemson,21,27,6,40.2,52.4,13.4
north-carolina-state,25,25,0,38.9,50.3,16.9
louisville,36,47,11,31.2,50.5,17.0
florida-state,62,71,9,22.4,40.1,17.9
boston-college,61,59,-2,22.6,34.5,10.4
syracuse,56,51,-5,24.6,44.8,19.6
pittsburgh,12,16,4,44.4,52.6,18.0
miami-fl,54,55,1,25.4,39.7,14.0
virginia,65,58,-7,21.5,32.3,12.3
virginia-tech,76,69,-7,19.8,34.4,10.9
north-carolina,51,53,2,26.0,40.8,12.6
georgia-tech,99,95,-4,12.0,27.9,13.9
duke,114,110,-4,6.7,12.1,10.4
oregon,23,15,-8,39.2,45.5,15.5
washington-state,81,81,0,18.4,26.6,15.6
oregon-state,44,50,6,30.0,42.0,16.2
california,87,96,9,17.1,32.0,14.4
washington,98,99,1,12.1,22.2,13.9
stanford,116,111,-5,6.3,11.1,10.1
utah,22,30,8,39.3,51.0,17.0
ucla,37,43,6,31.2,44.0,11.6
arizona-state,48,37,-11,28.8,40.0,12.2
colorado,97,105,8,12.1,22.3,9.7
southern-california,92,82,-10,14.7,26.4,11.0
arizona,121,120,-1,4.5,14.4,13.8
cincinnati,5,6,1,54.3,54.7,14.0
houston,16,17,1,43.5,46.4,16.9
central-florida,50,52,2,27.4,37.8,11.5
east-carolina,53,56,3,25.6,34.8,14.1
tulsa,80,87,7,18.7,32.2,12.4
southern-methodist,34,23,-11,34.4,43.7,15.0
memphis,89,80,-9,16.6,27.7,10.6
navy,95,98,3,12.9,37.3,17.0
temple,124,122,-2,2.3,-1.0,9.5
south-florida,112,112,0,7.0,18.1,16.6
tulane,105,115,10,9.9,29.2,10.6
utah-state,59,44,-15,23.3,27.0,14.8
air-force,13,18,5,44.4,58.6,15.9
boise-state,40,45,5,30.7,43.1,13.7
wyoming,75,83,8,20.0,29.6,9.6
colorado-state,102,101,-1,11.1,25.4,19.3
new-mexico,115,113,-2,6.7,12.1,9.6
san-diego-state,24,21,-3,39.0,40.8,13.0
fresno-state,46,42,-4,29.0,35.6,12.8
nevada,72,63,-9,20.7,26.6,11.6
hawaii,104,108,4,10.5,16.0,11.1
san-jose-state,101,100,-1,11.4,16.6,9.3
nevada-las-vegas,117,117,0,6.2,15.2,15.2
notre-dame,8,10,2,51.0,55.8,16.2
new-mexico-state,127,127,0,0.9,-3.6,12.4
liberty,42,31,-11,30.3,42.6,12.7
massachusetts,131,131,0,0.0,-8.0,13.5
connecticut,129,130,1,0.5,-5.2,10.9
army,18,19,1,41.1,55.9,15.5
brigham-young,28,29,1,36.7,42.1,13.1
appalachian-state,19,26,7,40.2,46.9,12.3
coastal-carolina,31,28,-3,35.7,40.7,12.5
georgia-state,73,74,1,20.5,30.5,13.8
troy,94,92,-2,13.1,20.2,9.9
georgia-southern,108,107,-1,8.8,18.3,9.2
louisiana-lafayette,27,32,5,38.2,39.8,13.9
texas-state,118,119,1,5.2,7.6,10.3
south-alabama,100,97,-3,11.7,17.1,10.2
louisiana-monroe,113,116,3,6.9,9.3,16.5
arkansas-state,126,128,2,0.9,-4.4,10.7
western-kentucky,52,57,5,25.8,35.0,16.0
marshall,49,54,5,27.6,38.1,11.7
old-dominion,88,89,1,16.9,28.3,11.7
middle-tennessee-state,91,85,-6,14.7,23.6,14.8
charlotte,110,104,-6,8.2,9.5,12.1
florida-atlantic,90,77,-13,16.5,27.3,14.3
florida-international,130,126,-4,0.3,-6.2,10.1
texas-san-antonio,11,8,-3,47.3,46.6,17.3
alabama-birmingham,43,40,-3,30.2,42.3,12.5
north-texas,85,93,8,17.8,30.1,15.3
texas-el-paso,78,79,1,19.1,23.9,14.0
rice,111,114,3,7.0,13.1,11.7
louisiana-tech,107,103,-4,9.1,19.2,12.6
southern-mississippi,120,123,3,4.8,10.0,8.5
kent-state,77,88,11,19.4,28.4,7.8
miami-oh,66,70,4,21.4,32.2,10.4
ohio,109,109,0,8.2,16.5,14.7
bowling-green-state,119,118,-1,5.2,7.6,14.5
buffalo,96,94,-2,12.6,23.5,11.6
akron,125,125,0,1.2,-3.6,12.3
northern-illinois,58,65,7,23.6,27.5,11.3
central-michigan,57,67,10,23.7,31.5,10.6
toledo,60,68,8,23.2,35.6,11.8
western-michigan,68,60,-8,21.1,31.6,11.8
eastern-michigan,86,90,4,17.6,21.3,10.0
ball-state,93,86,-7,14.1,22.2,12.9
fcs,128,129,1,0.7,-1.6,11.8
