Division,Score
Southeastern Conference - West,40.1
Big Ten Conference - East,38.8
Atlantic Coast Conference - Atlantic,33.5
Big 12 Conference,31.6
Big Ten Conference - West,31.5
Southeastern Conference - East,30.8
Sun Belt Conference - East,25.5
Atlantic Coast Conference - Coastal,25.0
Independent,24.9
American Athletic Conference,24.5
Mountain West Conference - Mountain,24.5
Pac-12 Conference - South,23.4
Pac-12 Conference - North,22.4
Mid-American Conference - West,21.8
Mountain West Conference - West,21.7
Conference USA - West,21.1
Conference USA - East,17.9
Sun Belt Conference - West,13.5
Mid-American Conference - East,12.7
FCS,1.2
