Division,Score
Southeastern Conference - West,36.7
Big Ten Conference - East,35.3
Southeastern Conference - East,31.1
Big Ten Conference - West,30.4
Atlantic Coast Conference - Atlantic,30.1
Big 12 Conference,29.4
Sun Belt Conference - East,24.0
Independent,23.3
Pac-12 Conference - South,22.8
Atlantic Coast Conference - Coastal,22.6
American Athletic Conference,22.6
Mountain West Conference - Mountain,22.0
Mountain West Conference - West,21.0
Mid-American Conference - West,20.8
Pac-12 Conference - North,20.5
Conference USA - West,19.0
Conference USA - East,15.6
Sun Belt Conference - West,12.1
Mid-American Conference - East,11.1
FCS,0.7
