Conference,Score
Southeastern Conference,33.9
Big Ten Conference,32.8
Big 12 Conference,29.4
Atlantic Coast Conference,26.4
Independent,23.3
American Athletic Conference,22.6
Pac-12 Conference,21.7
Mountain West Conference,21.5
Sun Belt Conference,18.0
Conference USA,17.3
Mid-American Conference,16.0
FCS,0.7
