Division,Score
Big Ten Conference - East,39.2
Southeastern Conference - West,37.1
Southeastern Conference - East,31.7
Big 12 Conference,30.3
Atlantic Coast Conference - Atlantic,28.5
Big Ten Conference - West,27.8
Atlantic Coast Conference - Coastal,26.0
Sun Belt Conference - East,24.9
Independent,22.7
American Athletic Conference,21.9
Mountain West Conference - Mountain,21.4
Mid-American Conference - West,21.3
Pac-12 Conference - South,20.6
Mountain West Conference - West,20.4
Pac-12 Conference - North,20.0
Conference USA - West,17.2
Conference USA - East,13.9
Mid-American Conference - East,13.1
Sun Belt Conference - West,11.4
FCS,0.6
