Division,Score
Southeastern Conference - West,39.3
Big Ten Conference - East,37.7
Atlantic Coast Conference - Atlantic,31.6
Big Ten Conference - West,31.3
Big 12 Conference,31.1
Southeastern Conference - East,30.1
Atlantic Coast Conference - Coastal,25.4
Sun Belt Conference - East,24.9
American Athletic Conference,23.3
Independent,23.0
Mountain West Conference - Mountain,22.7
Pac-12 Conference - South,22.1
Pac-12 Conference - North,21.7
Mountain West Conference - West,21.5
Mid-American Conference - West,20.5
Conference USA - West,19.8
Conference USA - East,17.2
Sun Belt Conference - West,12.8
Mid-American Conference - East,12.3
FCS,0.9
