Conference,Score
Big 12 Conference,35.3
Pacific-10 Conference,35.2
Atlantic Coast Conference,32.2
Big Ten Conference,31.2
Southeastern Conference,31.1
Mountain West Conference,25.6
Independent,23.7
Big East Conference,22.8
Conference USA,21.5
Western Athletic Conference,20.3
Mid-American Conference,13.2
Sun Belt Conference,10.1
FCS,1.3
