Conference,Score
Big 12 Conference,34.7
Atlantic Coast Conference,32.8
Pacific-10 Conference,32.7
Southeastern Conference,32.1
Big Ten Conference,31.6
Mountain West Conference,25.2
Independent,24.6
Big East Conference,23.2
Conference USA,20.5
Western Athletic Conference,19.3
Mid-American Conference,13.2
Sun Belt Conference,11.3
FCS,1.4
