Conference,Score
Big Ten Conference,49.4
Big 12 Conference,46.0
Southeastern Conference,43.8
Atlantic Coast Conference,42.1
Pacific-10 Conference,41.4
Big East Conference,37.6
Mountain West Conference,36.6
Conference USA,32.1
Western Athletic Conference,29.3
Independent,26.4
Sun Belt Conference,25.6
Mid-American Conference,25.4
FCS,3.6
