Conference,Score
Big Ten Conference,25.4
Southeastern Conference,25.3
Atlantic Coast Conference,24.1
Big 12 Conference,23.0
Pacific-10 Conference,22.9
Mountain West Conference,21.2
Independent,20.2
Big East Conference,19.5
Conference USA,14.1
Mid-American Conference,13.1
Western Athletic Conference,12.5
Sun Belt Conference,11.7
FCS,0.7
