Conference,Score
Big 12 Conference,33.3
Pacific-10 Conference,33.2
Atlantic Coast Conference,30.4
Big Ten Conference,27.2
Southeastern Conference,27.1
Mountain West Conference,24.5
Independent,21.1
Big East Conference,20.5
Western Athletic Conference,20.3
Conference USA,20.1
Mid-American Conference,11.5
Sun Belt Conference,8.4
FCS,1.5
