Conference,Score
Big 12 Conference,41.2
Big Ten Conference,38.0
Pacific-10 Conference,37.5
Southeastern Conference,37.4
Atlantic Coast Conference,36.5
Big East Conference,29.7
Independent,29.1
Mountain West Conference,28.6
Conference USA,25.3
Western Athletic Conference,24.3
Sun Belt Conference,15.1
Mid-American Conference,14.3
FCS,2.1
