Division,Score
Southeastern Conference - West,46.0
Big Ten Conference - East,43.7
Big 12 Conference,38.9
Southeastern Conference - East,37.7
American Athletic Conference - West,35.5
Atlantic Coast Conference - Atlantic,35.3
Big Ten Conference - West,34.8
Mountain West Conference - Mountain,31.6
Pac-12 Conference - North,30.2
American Athletic Conference - East,30.2
Pac-12 Conference - South,30.1
Atlantic Coast Conference - Coastal,29.4
Sun Belt Conference - East,25.3
Mid-American Conference - West,22.0
Independent,21.0
Sun Belt Conference - West,20.2
Conference USA - East,18.5
Mountain West Conference - West,17.7
Conference USA - West,17.2
Mid-American Conference - East,13.5
FCS,0.7
