Conference,Score
Southeastern Conference,31.9
Big Ten Conference,31.1
Atlantic Coast Conference,26.4
Big 12 Conference,26.2
American Athletic Conference,22.3
Pac-12 Conference,22.2
Mountain West Conference,20.6
Sun Belt Conference,16.5
Mid-American Conference,16.3
Independent,15.0
Conference USA,14.3
FCS,0.2
