Division,Score
Southeastern Conference - West,36.4
Big Ten Conference - East,36.1
Atlantic Coast Conference - Atlantic,30.0
Southeastern Conference - East,27.4
Big 12 Conference,26.2
Big Ten Conference - West,26.1
American Athletic Conference - West,24.2
Pac-12 Conference - South,23.1
Mountain West Conference - Mountain,23.0
Atlantic Coast Conference - Coastal,22.7
Pac-12 Conference - North,21.3
Sun Belt Conference - East,20.7
American Athletic Conference - East,20.4
Mountain West Conference - West,18.3
Mid-American Conference - West,16.5
Mid-American Conference - East,16.2
Independent,15.0
Conference USA - East,14.4
Conference USA - West,14.3
Sun Belt Conference - West,12.3
FCS,0.2
