Division,Score
Big Ten Conference - East,55.5
Southeastern Conference - West,52.1
American Athletic Conference - West,49.8
Big 12 Conference,45.6
Big Ten Conference - West,44.6
Atlantic Coast Conference - Atlantic,43.2
Southeastern Conference - East,43.0
Pac-12 Conference - North,40.3
Mountain West Conference - Mountain,39.4
Pac-12 Conference - South,39.1
Sun Belt Conference - East,38.2
American Athletic Conference - East,37.5
Atlantic Coast Conference - Coastal,35.7
Mid-American Conference - West,29.7
Independent,28.3
Conference USA - East,28.1
Sun Belt Conference - West,26.6
Mountain West Conference - West,26.1
Conference USA - West,24.6
Mid-American Conference - East,21.2
FCS,1.3
