Division,Score
Big Ten Conference - East,57.2
Southeastern Conference - West,53.7
American Athletic Conference - West,53.5
Big 12 Conference,47.4
Big Ten Conference - West,45.5
Southeastern Conference - East,44.0
Atlantic Coast Conference - Atlantic,42.5
Pac-12 Conference - North,41.3
Mountain West Conference - Mountain,40.5
Pac-12 Conference - South,40.4
American Athletic Conference - East,38.8
Sun Belt Conference - East,38.3
Atlantic Coast Conference - Coastal,37.4
Mid-American Conference - West,30.0
Conference USA - East,28.9
Sun Belt Conference - West,28.2
Mountain West Conference - West,26.9
Independent,26.5
Conference USA - West,25.3
Mid-American Conference - East,22.4
FCS,1.4
