Division,Score
Big Ten Conference - East,56.8
Southeastern Conference - West,51.6
American Athletic Conference - West,51.0
Big 12 Conference,45.7
Atlantic Coast Conference - Atlantic,43.5
Big Ten Conference - West,43.3
Southeastern Conference - East,42.2
Pac-12 Conference - South,39.6
Mountain West Conference - Mountain,39.3
Pac-12 Conference - North,39.3
Sun Belt Conference - East,38.4
American Athletic Conference - East,38.2
Atlantic Coast Conference - Coastal,34.8
Mid-American Conference - West,28.6
Mountain West Conference - West,26.8
Conference USA - East,26.6
Sun Belt Conference - West,24.9
Conference USA - West,23.5
Independent,22.7
Mid-American Conference - East,20.3
FCS,1.3
