Division,Score
Southeastern Conference - West,52.3
Big Ten Conference - East,51.8
American Athletic Conference - West,48.8
Southeastern Conference - East,44.4
Big 12 Conference,42.8
Big Ten Conference - West,41.9
Atlantic Coast Conference - Atlantic,41.6
Pac-12 Conference - North,39.4
Pac-12 Conference - South,38.1
Mountain West Conference - Mountain,37.4
Sun Belt Conference - East,36.2
American Athletic Conference - East,34.5
Atlantic Coast Conference - Coastal,34.4
Conference USA - East,29.0
Independent,28.4
Mid-American Conference - West,26.6
Mountain West Conference - West,26.2
Sun Belt Conference - West,25.8
Mid-American Conference - East,23.2
Conference USA - West,22.0
FCS,1.1
