Division,Score
Big Ten Conference - East,45.9
Southeastern Conference - West,45.9
Big 12 Conference,38.8
American Athletic Conference - West,38.5
Southeastern Conference - East,37.8
Atlantic Coast Conference - Atlantic,36.5
Big Ten Conference - West,34.5
Mountain West Conference - Mountain,32.4
Pac-12 Conference - South,31.6
Pac-12 Conference - North,30.4
American Athletic Conference - East,29.1
Atlantic Coast Conference - Coastal,28.1
Sun Belt Conference - East,25.2
Sun Belt Conference - West,21.4
Independent,21.3
Mid-American Conference - West,21.2
Mountain West Conference - West,19.5
Conference USA - East,17.1
Conference USA - West,16.0
Mid-American Conference - East,13.9
FCS,0.7
