Division,Score
Southeastern Conference - West,52.4
Big Ten Conference - East,51.8
American Athletic Conference - West,49.9
Southeastern Conference - East,44.4
Big 12 Conference,42.9
Big Ten Conference - West,41.9
Atlantic Coast Conference - Atlantic,41.7
Mountain West Conference - Mountain,38.8
Pac-12 Conference - North,38.4
Pac-12 Conference - South,37.6
Sun Belt Conference - East,36.8
Atlantic Coast Conference - Coastal,34.4
American Athletic Conference - East,34.2
Conference USA - East,29.5
Independent,28.0
Mid-American Conference - West,27.3
Sun Belt Conference - West,25.7
Mountain West Conference - West,25.5
Mid-American Conference - East,22.4
Conference USA - West,22.4
FCS,1.1
