Division,Score
Southeastern Conference - West,52.3
Big Ten Conference - East,51.7
American Athletic Conference - West,49.1
Southeastern Conference - East,44.3
Big 12 Conference,42.8
Big Ten Conference - West,41.8
Atlantic Coast Conference - Atlantic,41.6
Mountain West Conference - Mountain,38.8
Pac-12 Conference - North,38.3
Pac-12 Conference - South,37.5
Sun Belt Conference - East,36.8
Atlantic Coast Conference - Coastal,34.3
American Athletic Conference - East,34.0
Conference USA - East,29.5
Independent,28.3
Mid-American Conference - West,27.2
Sun Belt Conference - West,25.6
Mountain West Conference - West,25.5
Conference USA - West,22.3
Mid-American Conference - East,22.3
FCS,1.1
