Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
Cincinnati,23,18,-5,60.5,36.4,16.7
Connecticut,124,123,-1,8.2,-11.6,10.7
EastCarolina,110,105,-5,17.9,3.4,10.6
SouthFlorida,103,97,-6,20.7,10.8,11.3
Temple,42,45,3,40.8,20.9,9.1
UCF,25,24,-1,58.9,41.4,13.3
Houston,84,82,-2,25.3,23.1,11.3
Memphis,11,12,1,69.7,41.5,13.7
Navy,8,10,2,74.1,56.7,23.6
SouthernMethodist,24,25,1,59.0,34.3,15.9
Tulane,40,36,-4,41.0,37.6,15.9
Tulsa,86,100,14,25.0,22.4,12.8
BostonCollege,61,72,11,34.8,25.2,10.5
Clemson,2,2,0,94.3,63.5,15.6
FloridaState,68,64,-4,32.4,20.5,10.0
Louisville,53,38,-15,37.4,22.1,14.2
NorthCarolinaState,104,96,-8,20.1,9.4,8.0
Syracuse,87,98,11,24.5,11.6,6.5
WakeForest,39,35,-4,41.5,22.1,10.1
Duke,85,94,9,25.2,13.3,9.0
GeorgiaTech,117,115,-2,14.4,1.6,7.1
MiamiFL,64,47,-17,34.5,24.7,8.8
NorthCarolina,55,68,13,37.1,29.9,11.9
Pittsburgh,59,42,-17,35.9,19.5,10.3
Virginia,31,34,3,47.3,24.5,7.6
VirginiaTech,37,30,-7,43.6,25.5,11.8
Indiana,30,32,2,47.6,31.9,12.8
Maryland,107,106,-1,19.7,18.9,15.6
Michigan,18,11,-7,65.1,50.3,15.4
MichiganState,49,53,4,38.5,32.8,14.0
OhioState,1,1,0,112.4,84.1,29.6
PennState,10,9,-1,73.6,53.8,18.7
Rutgers,122,122,0,10.9,-0.5,6.4
Illinois,74,62,-12,30.2,16.1,11.0
Iowa,26,27,1,57.5,39.3,12.8
Minnesota,21,14,-7,61.6,37.8,17.8
Nebraska,67,65,-2,32.4,29.8,10.4
Northwestern,102,113,11,20.7,22.0,9.8
Purdue,98,92,-6,22.0,14.3,8.3
Wisconsin,5,6,1,80.1,62.5,20.9
Baylor,12,15,3,69.5,41.2,14.4
IowaState,36,29,-7,43.8,33.6,18.6
Kansas,113,110,-3,15.8,6.3,8.7
KansasState,28,31,3,49.1,34.3,13.8
Oklahoma,6,8,2,78.8,52.6,17.0
OklahomaState,27,26,-1,51.6,38.2,16.6
TCU,62,48,-14,34.6,34.8,15.1
Texas,33,39,6,45.6,36.7,12.5
TexasTech,89,84,-5,24.2,20.1,8.4
WestVirginia,88,101,13,24.2,10.9,4.2
Charlotte,76,83,7,28.7,6.6,5.4
FloridaAtlantic,29,33,4,48.0,25.5,10.6
FloridaInternational,97,91,-6,22.0,-0.2,6.6
Marshall,48,49,1,38.6,17.4,8.0
MiddleTennessee,108,107,-1,19.1,6.5,7.2
OldDominion,127,127,0,6.7,-8.9,8.4
WesternKentucky,58,61,3,35.9,13.2,13.9
LouisianaTech,52,54,2,37.5,10.3,9.0
NorthTexas,112,108,-4,16.8,0.6,7.1
Rice,115,118,3,15.1,4.0,7.0
SouthernMiss,69,60,-9,32.3,13.1,7.0
UAB,51,55,4,37.7,10.5,7.5
UTEP,128,128,0,4.5,-20.4,7.8
