Division,Score
Big Ten Conference - East,46.1
Southeastern Conference - West,42.9
Atlantic Coast Conference - Atlantic,37.7
Southeastern Conference - East,34.9
Big Ten Conference - West,33.8
Big 12 Conference,33.3
Mountain West Conference - Mountain,31.4
American Athletic Conference - West,30.6
Atlantic Coast Conference - Coastal,29.3
Pac-12 Conference - South,28.6
Pac-12 Conference - North,26.8
American Athletic Conference - East,26.4
Sun Belt Conference - East,26.2
Sun Belt Conference - West,20.1
Mid-American Conference - West,18.6
Mountain West Conference - West,17.4
Independent,17.1
Conference USA - East,16.6
Mid-American Conference - East,16.6
Conference USA - West,15.7
FCS,0.6
