Conference,Score
Southeastern Conference,45.7
Big Ten Conference,44.7
Big 12 Conference,42.6
American Athletic Conference,39.3
Atlantic Coast Conference,37.2
Pac-12 Conference,35.2
Mountain West Conference,29.4
Sun Belt Conference,26.8
Independent,23.1
Conference USA,22.2
Mid-American Conference,20.7
FCS,1.1
