Division,Score
Southeastern Conference - West,47.9
Big Ten Conference - East,46.0
Big 12 Conference,40.5
Atlantic Coast Conference - Atlantic,39.0
American Athletic Conference - West,38.3
Southeastern Conference - East,37.5
Big Ten Conference - West,36.3
Pac-12 Conference - North,32.4
Mountain West Conference - Mountain,31.9
Pac-12 Conference - South,31.5
Atlantic Coast Conference - Coastal,31.0
American Athletic Conference - East,28.6
Sun Belt Conference - East,28.6
Mid-American Conference - West,22.5
Independent,21.6
Sun Belt Conference - West,20.9
Mountain West Conference - West,20.6
Conference USA - East,19.6
Conference USA - West,18.9
Mid-American Conference - East,15.1
FCS,0.8
