Division,Score
Southeastern Conference - West,52.2
Big Ten Conference - East,50.4
American Athletic Conference - West,48.1
Southeastern Conference - East,45.4
Big Ten Conference - West,41.9
Big 12 Conference,41.0
Atlantic Coast Conference - Atlantic,40.1
Pac-12 Conference - North,38.6
Mountain West Conference - Mountain,37.9
Pac-12 Conference - South,35.8
Sun Belt Conference - East,35.5
American Athletic Conference - East,34.0
Atlantic Coast Conference - Coastal,33.6
Conference USA - East,29.2
Independent,28.3
Mid-American Conference - West,26.0
Mountain West Conference - West,25.8
Sun Belt Conference - West,25.6
Mid-American Conference - East,23.3
Conference USA - West,22.2
FCS,1.1
