Conference,Score
Southeastern Conference,41.9
Big Ten Conference,39.2
Big 12 Conference,38.9
American Athletic Conference,32.8
Atlantic Coast Conference,32.4
Pac-12 Conference,30.1
Mountain West Conference,24.6
Sun Belt Conference,22.7
Independent,21.0
Conference USA,17.9
Mid-American Conference,17.7
FCS,0.7
