Conference,Score
Southeastern Conference,48.5
Big Ten Conference,46.7
Big 12 Conference,40.7
American Athletic Conference,40.2
Atlantic Coast Conference,38.2
Pac-12 Conference,37.9
Mountain West Conference,31.8
Sun Belt Conference,30.8
Independent,28.5
Conference USA,25.8
Mid-American Conference,24.6
FCS,1.1
