Conference,Score
Big Ten Conference,50.9
Southeastern Conference,48.3
Big 12 Conference,46.7
American Athletic Conference,45.4
Pac-12 Conference,40.1
Atlantic Coast Conference,39.8
Mountain West Conference,33.3
Sun Belt Conference,32.1
Conference USA,25.6
Mid-American Conference,25.4
Independent,24.3
FCS,1.4
