Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
georgia,6,8,2,79.0,53.5,13.4
florida,18,21,3,66.6,44.1,11.4
tennessee,60,70,10,36.1,23.0,14.3
kentucky,65,56,-9,35.0,26.7,8.0
missouri,44,37,-7,42.0,28.8,9.6
south-carolina,69,58,-11,33.9,30.0,11.7
vanderbilt,116,114,-2,15.4,0.8,7.4
louisiana-state,3,4,1,88.3,55.2,15.0
alabama,8,5,-3,76.7,50.5,13.5
auburn,13,12,-1,72.7,55.8,16.4
texas-am,32,32,0,51.1,33.8,10.1
mississippi-state,52,54,2,38.9,35.2,9.7
mississippi,68,84,16,34.1,30.3,12.2
arkansas,118,117,-1,14.2,0.5,9.3
ohio-state,1,1,0,116.8,88.8,26.3
penn-state,4,2,-2,82.5,58.1,16.7
michigan,16,16,0,67.3,48.0,14.3
indiana,27,28,1,56.3,32.1,13.4
michigan-state,48,41,-7,40.2,37.9,12.2
maryland,98,93,-5,24.9,20.6,12.8
rutgers,122,123,1,12.4,-8.9,9.4
minnesota,14,14,0,72.5,36.5,17.2
wisconsin,7,9,2,77.8,63.2,18.3
iowa,28,23,-5,56.0,41.8,11.7
illinois,56,65,9,37.5,16.4,12.2
nebraska,75,75,0,32.6,21.5,8.7
purdue,94,98,4,26.4,12.4,10.8
northwestern,115,115,0,15.9,19.6,9.6
oklahoma,9,7,-2,76.6,50.4,14.5
baylor,10,13,3,74.1,38.3,14.4
kansas-state,30,26,-4,53.1,37.1,12.7
oklahoma-state,26,29,3,56.5,42.6,13.5
texas,31,36,5,52.1,35.5,9.7
iowa-state,37,34,-3,46.8,37.8,16.8
texas-christian,49,42,-7,40.1,37.8,14.6
west-virginia,109,100,-9,20.4,3.9,9.7
texas-tech,74,90,16,32.8,22.0,9.5
kansas,105,105,0,21.3,6.3,11.5
oregon,12,11,-1,73.1,45.8,15.3
california,59,76,17,36.2,18.0,9.0
washington,36,44,8,46.9,32.9,11.0
oregon-state,81,67,-14,30.5,17.0,16.7
washington-state,82,64,-18,30.3,16.5,9.9
stanford,80,69,-11,30.9,17.7,8.6
utah,11,10,-1,74.0,47.0,15.4
southern-california,43,53,10,42.3,24.8,11.7
arizona-state,58,49,-9,37.2,19.9,11.0
ucla,72,71,-1,33.1,22.5,14.1
colorado,92,96,4,27.2,14.3,8.4
arizona,86,91,5,28.7,13.1,9.1
cincinnati,15,15,0,70.5,42.4,14.9
central-florida,24,18,-6,59.7,43.7,13.0
temple,47,55,8,41.3,18.0,7.6
south-florida,85,72,-13,29.1,13.9,14.6
east-carolina,107,103,-4,20.5,8.2,11.8
connecticut,123,122,-1,11.5,-9.0,15.4
memphis,20,20,0,65.2,35.6,12.3
navy,5,6,1,81.5,59.5,20.8
southern-methodist,19,19,0,65.5,34.2,16.6
tulane,29,30,1,54.9,40.1,13.5
houston,88,87,-1,28.5,25.0,10.8
tulsa,96,104,8,25.6,22.6,14.3
clemson,2,3,1,92.6,58.9,15.9
louisville,54,45,-9,38.5,22.4,15.8
wake-forest,33,27,-6,49.4,22.1,8.9
boston-college,63,51,-12,35.9,22.5,11.8
florida-state,71,80,9,33.4,17.7,11.3
syracuse,108,108,0,20.5,4.1,6.3
north-carolina-state,91,81,-10,27.3,10.0,5.9
miami-fl,41,50,9,44.2,28.1,7.2
virginia,38,39,1,46.5,23.2,9.0
virginia-tech,45,59,14,41.9,19.0,11.9
pittsburgh,40,40,0,44.9,23.9,8.9
north-carolina,64,63,-1,35.3,27.3,11.5
duke,79,61,-18,31.5,19.2,9.0
georgia-tech,114,113,-1,17.1,6.3,11.4
boise-state,25,25,0,59.7,28.4,9.7
air-force,17,17,0,67.1,47.7,14.8
utah-state,67,77,10,34.3,14.5,7.0
wyoming,39,35,-4,45.9,25.4,10.3
colorado-state,102,99,-3,22.6,-0.2,12.1
new-mexico,121,121,0,13.4,-5.6,10.5
san-diego-state,42,33,-9,44.0,14.4,11.7
hawaii,76,83,7,32.1,7.0,10.8
nevada,99,111,12,23.3,-8.4,11.2
san-jose-state,110,107,-3,19.8,-3.0,12.6
fresno-state,89,78,-11,28.4,12.4,8.9
nevada-las-vegas,120,118,-2,13.9,-4.1,8.6
appalachian-state,21,22,1,64.2,34.2,11.6
georgia-southern,57,43,-14,37.3,20.1,11.4
georgia-state,55,47,-8,38.1,12.7,16.6
troy,93,102,9,26.5,8.2,5.3
coastal-carolina,97,89,-8,25.4,5.9,10.7
louisiana-lafayette,22,24,2,63.1,42.0,16.5
arkansas-state,83,88,5,29.6,5.8,8.4
louisiana-monroe,100,109,9,23.3,1.2,8.5
texas-state,117,120,3,14.9,-10.3,10.2
south-alabama,124,124,0,9.8,-6.7,8.6
liberty,90,85,-5,28.2,0.2,10.2
new-mexico-state,128,128,0,4.2,-22.0,13.2
massachusetts,131,131,0,0.0,-49.2,15.5
brigham-young,66,73,7,34.5,15.0,10.7
army,77,92,15,32.0,25.4,7.4
notre-dame,23,31,8,59.9,37.4,10.9
florida-atlantic,34,38,4,48.3,25.9,11.5
western-kentucky,70,82,12,33.5,9.5,15.4
marshall,46,48,2,41.7,18.5,8.8
charlotte,95,97,2,25.7,2.2,6.0
florida-international,101,95,-6,22.9,-3.4,10.1
middle-tennessee-state,104,101,-3,21.6,7.0,10.9
old-dominion,125,125,0,8.6,-9.0,10.0
louisiana-tech,35,46,11,48.2,13.5,10.9
alabama-birmingham,73,57,-16,33.0,4.4,10.2
southern-mississippi,50,66,16,39.5,14.9,7.2
north-texas,103,94,-9,22.2,2.5,7.3
texas-san-antonio,111,116,5,18.9,-8.1,11.3
rice,126,126,0,7.7,0.9,9.6
texas-el-paso,127,127,0,7.5,-16.7,11.8
miami-oh,78,86,8,32.0,10.2,8.2
buffalo,51,52,1,39.4,23.9,9.1
kent-state,112,110,-2,18.6,-0.8,13.4
ohio,87,79,-8,28.6,12.8,7.4
bowling-green-state,119,119,0,14.1,-12.6,13.2
akron,129,129,0,1.8,-37.2,12.8
central-michigan,61,62,1,35.9,13.6,13.7
