Division,Score
Big Ten Conference - East,53.1
Southeastern Conference - West,51.6
American Athletic Conference - West,49.5
Southeastern Conference - East,45.0
Big 12 Conference,44.1
Big Ten Conference - West,43.9
Atlantic Coast Conference - Atlantic,41.1
Pac-12 Conference - South,38.9
Mountain West Conference - Mountain,38.3
Pac-12 Conference - North,37.8
Sun Belt Conference - East,36.9
American Athletic Conference - East,34.9
Atlantic Coast Conference - Coastal,34.5
Conference USA - East,29.0
Mid-American Conference - West,28.0
Independent,27.9
Sun Belt Conference - West,27.0
Mountain West Conference - West,25.8
Conference USA - West,23.0
Mid-American Conference - East,22.3
FCS,1.1
